results_df_name,model_name,metric_category,condition,metric
test_results,resnet_base224_enhanced,positive_vs_negative,Cardiomegaly,FNR
test_results,resnet_base224_enhanced,positive_vs_negative,Cardiomegaly,TNR
test_results,resnet_base224_enhanced,positive_vs_negative,Cardiomegaly,Precision
test_results,resnet_base224_enhanced,positive_vs_negative,Cardiomegaly,Recall
test_results,resnet_base224_enhanced,positive_vs_negative,Cardiomegaly,BER
test_results,resnet_base224_enhanced,positive_vs_negative,Cardiomegaly,F1 Score
test_results,resnet_base224_enhanced,positive_vs_negative,Consolidation,TP
test_results,resnet_base224_enhanced,positive_vs_negative,Consolidation,FP
test_results,resnet_base224_enhanced,positive_vs_negative,Consolidation,FN
test_results,resnet_base224_enhanced,positive_vs_negative,Consolidation,TN
test_results,resnet_base224_enhanced,positive_vs_negative,Consolidation,TPR
test_results,resnet_base224_enhanced,positive_vs_negative,Consolidation,FPR
test_results,resnet_base224_enhanced,positive_vs_negative,Consolidation,FNR
test_results,resnet_base224_enhanced,positive_vs_negative,Consolidation,TNR
test_results,resnet_base224_enhanced,positive_vs_negative,Consolidation,Precision
test_results,resnet_base224_enhanced,positive_vs_negative,Consolidation,Recall
test_results,resnet_base224_enhanced,positive_vs_negative,Consolidation,BER
test_results,resnet_base224_enhanced,positive_vs_negative,Consolidation,F1 Score
test_results,resnet_base224_enhanced,positive_vs_negative,Edema,TP
test_results,resnet_base224_enhanced,positive_vs_negative,Edema,FP
test_results,resnet_base224_enhanced,positive_vs_negative,Edema,FN
test_results,resnet_base224_enhanced,positive_vs_negative,Edema,TN
test_results,resnet_base224_enhanced,positive_vs_negative,Edema,TPR
test_results,resnet_base224_enhanced,positive_vs_negative,Edema,FPR
test_results,resnet_base224_enhanced,positive_vs_negative,Edema,FNR
test_results,resnet_base224_enhanced,positive_vs_negative,Edema,TNR
test_results,resnet_base224_enhanced,positive_vs_negative,Edema,Precision
test_results,resnet_base224_enhanced,positive_vs_negative,Edema,Recall
test_results,resnet_base224_enhanced,positive_vs_negative,Edema,BER
test_results,resnet_base224_enhanced,positive_vs_negative,Edema,F1 Score
test_results,resnet_base224_enhanced,positive_vs_negative,Atelectasis,TP
test_results,resnet_base224_enhanced,positive_vs_negative,Atelectasis,FP
test_results,resnet_base224_enhanced,positive_vs_negative,Atelectasis,FN
test_results,resnet_base224_enhanced,positive_vs_negative,Atelectasis,TN
test_results,resnet_base224_enhanced,positive_vs_negative,Atelectasis,TPR
test_results,resnet_base224_enhanced,positive_vs_negative,Atelectasis,FPR
test_results,resnet_base224_enhanced,positive_vs_negative,Atelectasis,FNR
test_results,resnet_base224_enhanced,positive_vs_negative,Atelectasis,TNR
test_results,resnet_base224_enhanced,positive_vs_negative,Atelectasis,Precision
test_results,resnet_base224_enhanced,positive_vs_negative,Atelectasis,Recall
